,Consequent,Antecedent,Supp,Conf,Lift,Consequent_
183,low_SL,"('4_T', 'Y_L', 'intensive_H', 'N_P')",0.054,0.951,6.961, Satisfaction_Level:low 
232,low_SL,"('4_T', 'insufficient_LE', 'N_WA')",0.066,0.935,6.839, Satisfaction_Level:low 
239,low_SL,"('4_T', 'insufficient_LE')",0.072,0.934,6.837, Satisfaction_Level:low 
228,low_SL,"('4_T', 'insufficient_LE', 'N_WA', 'N_P')",0.065,0.934,6.836, Satisfaction_Level:low 
236,low_SL,"('4_T', 'insufficient_LE', 'N_P')",0.072,0.934,6.833, Satisfaction_Level:low 
10,low_SL,"('6_NP', 'insufficient_LE', 'N_WA', 'N_P')",0.051,0.933,6.823, Satisfaction_Level:low 
13,low_SL,"('6_NP', 'insufficient_LE', 'N_WA')",0.051,0.931,6.812, Satisfaction_Level:low 
16,low_SL,"('6_NP', 'insufficient_LE', 'N_P')",0.056,0.927,6.784, Satisfaction_Level:low 
18,low_SL,"('6_NP', 'insufficient_LE')",0.057,0.926,6.775, Satisfaction_Level:low 
325,low_SL,"('insufficient_LE', 'low_S', 'intensive_H')",0.052,0.918,6.715, Satisfaction_Level:low 
321,low_SL,"('insufficient_LE', 'low_S', 'intensive_H', 'N_P')",0.052,0.917,6.713, Satisfaction_Level:low 
196,low_SL,"('4_T', 'Y_L', 'N_WA')",0.052,0.917,6.71, Satisfaction_Level:low 
192,low_SL,"('4_T', 'Y_L', 'N_WA', 'N_P')",0.051,0.917,6.708, Satisfaction_Level:low 
203,low_SL,"('4_T', 'Y_L')",0.054,0.916,6.7, Satisfaction_Level:low 
200,low_SL,"('4_T', 'Y_L', 'N_P')",0.054,0.915,6.698, Satisfaction_Level:low 
348,low_SL,"('insufficient_LE', 'intensive_H', 'N_WA')",0.088,0.91,6.66, Satisfaction_Level:low 
344,low_SL,"('insufficient_LE', 'intensive_H', 'N_WA', 'N_P')",0.087,0.91,6.656, Satisfaction_Level:low 
355,low_SL,"('insufficient_LE', 'intensive_H')",0.097,0.905,6.619, Satisfaction_Level:low 
352,low_SL,"('insufficient_LE', 'intensive_H', 'N_P')",0.096,0.904,6.613, Satisfaction_Level:low 
800,2_NP,"('Y_L', 'insufficient_LE', 'medium_SL', '3_T', 'standard_H')",0.086,0.999,6.276, Number_Projects:2 
794,2_NP,"('Y_L', 'insufficient_LE', 'medium_SL', '3_T', 'standard_H', 'N_P')",0.086,0.999,6.276, Number_Projects:2 
787,2_NP,"('Y_L', 'insufficient_LE', 'medium_SL', '3_T', 'standard_H', 'N_WA')",0.082,0.999,6.276, Number_Projects:2 
780,2_NP,"('Y_L', 'insufficient_LE', 'medium_SL', '3_T', 'standard_H', 'N_WA', 'N_P')",0.082,0.999,6.276, Number_Projects:2 
744,2_NP,"('Y_L', 'insufficient_LE', 'medium_SL', '3_T', 'low_S', 'standard_H')",0.053,0.999,6.273, Number_Projects:2 
729,2_NP,"('Y_L', 'insufficient_LE', 'medium_SL', '3_T', 'low_S', 'standard_H', 'N_WA')",0.051,0.999,6.273, Number_Projects:2 
721,2_NP,"('Y_L', 'insufficient_LE', 'medium_SL', '3_T', 'low_S', 'standard_H', 'N_WA', 'N_P')",0.05,0.999,6.273, Number_Projects:2 
737,2_NP,"('Y_L', 'insufficient_LE', 'medium_SL', '3_T', 'low_S', 'standard_H', 'N_P')",0.053,0.999,6.273, Number_Projects:2 
1167,2_NP,"('Y_L', 'medium_SL', '3_T', 'standard_H', 'N_P')",0.1,0.996,6.256, Number_Projects:2 
1172,2_NP,"('Y_L', 'medium_SL', '3_T', 'standard_H')",0.101,0.996,6.256, Number_Projects:2 
1155,2_NP,"('Y_L', 'medium_SL', '3_T', 'standard_H', 'N_WA', 'N_P')",0.095,0.996,6.255, Number_Projects:2 
1161,2_NP,"('Y_L', 'medium_SL', '3_T', 'standard_H', 'N_WA')",0.096,0.996,6.255, Number_Projects:2 
1118,2_NP,"('Y_L', 'medium_SL', '3_T', 'low_S', 'standard_H', 'N_P')",0.061,0.996,6.254, Number_Projects:2 
1124,2_NP,"('Y_L', 'medium_SL', '3_T', 'low_S', 'standard_H')",0.062,0.996,6.254, Number_Projects:2 
1104,2_NP,"('Y_L', 'medium_SL', '3_T', 'low_S', 'standard_H', 'N_WA', 'N_P')",0.059,0.995,6.253, Number_Projects:2 
1111,2_NP,"('Y_L', 'medium_SL', '3_T', 'low_S', 'standard_H', 'N_WA')",0.059,0.996,6.253, Number_Projects:2 
772,2_NP,"('Y_L', 'insufficient_LE', 'medium_SL', '3_T', 'low_S')",0.053,0.995,6.25, Number_Projects:2 
766,2_NP,"('Y_L', 'insufficient_LE', 'medium_SL', '3_T', 'low_S', 'N_P')",0.053,0.995,6.249, Number_Projects:2 
759,2_NP,"('Y_L', 'insufficient_LE', 'medium_SL', '3_T', 'low_S', 'N_WA')",0.051,0.995,6.248, Number_Projects:2 
752,2_NP,"('Y_L', 'insufficient_LE', 'medium_SL', '3_T', 'low_S', 'N_WA', 'N_P')",0.05,0.995,6.248, Number_Projects:2 
819,2_NP,"('Y_L', 'insufficient_LE', 'medium_SL', '3_T', 'N_P')",0.086,0.995,6.247, Number_Projects:2 
824,2_NP,"('Y_L', 'insufficient_LE', 'medium_SL', '3_T')",0.086,0.995,6.247, Number_Projects:2 
813,2_NP,"('Y_L', 'insufficient_LE', 'medium_SL', '3_T', 'N_WA')",0.082,0.994,6.246, Number_Projects:2 
807,2_NP,"('Y_L', 'insufficient_LE', 'medium_SL', '3_T', 'N_WA', 'N_P')",0.082,0.994,6.245, Number_Projects:2 
996,2_NP,"('Y_L', 'insufficient_LE', '3_T', 'standard_H')",0.086,0.992,6.233, Number_Projects:2 
991,2_NP,"('Y_L', 'insufficient_LE', '3_T', 'standard_H', 'N_P')",0.086,0.992,6.233, Number_Projects:2 
839,2_NP,"('Y_L', 'insufficient_LE', 'medium_SL', 'low_S', 'standard_H', 'N_WA')",0.051,0.992,6.232, Number_Projects:2 
832,2_NP,"('Y_L', 'insufficient_LE', 'medium_SL', 'low_S', 'standard_H', 'N_WA', 'N_P')",0.051,0.992,6.232, Number_Projects:2 
979,2_NP,"('Y_L', 'insufficient_LE', '3_T', 'standard_H', 'N_WA', 'N_P')",0.082,0.992,6.23, Number_Projects:2 
985,2_NP,"('Y_L', 'insufficient_LE', '3_T', 'standard_H', 'N_WA')",0.082,0.992,6.23, Number_Projects:2 
846,2_NP,"('Y_L', 'insufficient_LE', 'medium_SL', 'low_S', 'standard_H', 'N_P')",0.053,0.991,6.226, Number_Projects:2 
852,2_NP,"('Y_L', 'insufficient_LE', 'medium_SL', 'low_S', 'standard_H')",0.053,0.991,6.226, Number_Projects:2 
948,2_NP,"('Y_L', 'insufficient_LE', '3_T', 'low_S', 'standard_H')",0.053,0.991,6.226, Number_Projects:2 
942,2_NP,"('Y_L', 'insufficient_LE', '3_T', 'low_S', 'standard_H', 'N_P')",0.053,0.991,6.226, Number_Projects:2 
935,2_NP,"('Y_L', 'insufficient_LE', '3_T', 'low_S', 'standard_H', 'N_WA')",0.051,0.991,6.224, Number_Projects:2 
928,2_NP,"('Y_L', 'insufficient_LE', '3_T', 'low_S', 'standard_H', 'N_WA', 'N_P')",0.05,0.991,6.223, Number_Projects:2 
889,2_NP,"('Y_L', 'insufficient_LE', 'medium_SL', 'standard_H', 'N_WA')",0.082,0.99,6.216, Number_Projects:2 
883,2_NP,"('Y_L', 'insufficient_LE', 'medium_SL', 'standard_H', 'N_WA', 'N_P')",0.082,0.99,6.215, Number_Projects:2 
900,2_NP,"('Y_L', 'insufficient_LE', 'medium_SL', 'standard_H')",0.086,0.989,6.214, Number_Projects:2 
895,2_NP,"('Y_L', 'insufficient_LE', 'medium_SL', 'standard_H', 'N_P')",0.086,0.989,6.213, Number_Projects:2 
1332,2_NP,"('Y_L', '3_T', 'standard_H', 'N_P')",0.1,0.987,6.198, Number_Projects:2 
1291,2_NP,"('Y_L', '3_T', 'low_S', 'standard_H', 'N_P')",0.061,0.986,6.194, Number_Projects:2 
1322,2_NP,"('Y_L', '3_T', 'standard_H', 'N_WA', 'N_P')",0.095,0.986,6.194, Number_Projects:2 
1192,2_NP,"('Y_L', 'medium_SL', '3_T')",0.101,0.986,6.191, Number_Projects:2 
1188,2_NP,"('Y_L', 'medium_SL', '3_T', 'N_P')",0.1,0.986,6.19, Number_Projects:2 
1279,2_NP,"('Y_L', '3_T', 'low_S', 'standard_H', 'N_WA', 'N_P')",0.059,0.985,6.19, Number_Projects:2 
1336,2_NP,"('Y_L', '3_T', 'standard_H')",0.101,0.985,6.187, Number_Projects:2 
1183,2_NP,"('Y_L', 'medium_SL', '3_T', 'N_WA')",0.096,0.985,6.187, Number_Projects:2 
1178,2_NP,"('Y_L', 'medium_SL', '3_T', 'N_WA', 'N_P')",0.096,0.985,6.186, Number_Projects:2 
1148,2_NP,"('Y_L', 'medium_SL', '3_T', 'low_S')",0.062,0.984,6.182, Number_Projects:2 
1327,2_NP,"('Y_L', '3_T', 'standard_H', 'N_WA')",0.096,0.984,6.182, Number_Projects:2 
1143,2_NP,"('Y_L', 'medium_SL', '3_T', 'low_S', 'N_P')",0.062,0.984,6.181, Number_Projects:2 
1137,2_NP,"('Y_L', 'medium_SL', '3_T', 'low_S', 'N_WA')",0.059,0.983,6.177, Number_Projects:2 
1131,2_NP,"('Y_L', 'medium_SL', '3_T', 'low_S', 'N_WA', 'N_P')",0.059,0.983,6.176, Number_Projects:2 
1296,2_NP,"('Y_L', '3_T', 'low_S', 'standard_H')",0.062,0.983,6.175, Number_Projects:2 
1285,2_NP,"('Y_L', '3_T', 'low_S', 'standard_H', 'N_WA')",0.059,0.982,6.17, Number_Projects:2 
865,2_NP,"('Y_L', 'insufficient_LE', 'medium_SL', 'low_S', 'N_WA')",0.051,0.979,6.152, Number_Projects:2 
1205,2_NP,"('Y_L', 'medium_SL', 'low_S', 'standard_H', 'N_WA')",0.06,0.979,6.151, Number_Projects:2 
859,2_NP,"('Y_L', 'insufficient_LE', 'medium_SL', 'low_S', 'N_WA', 'N_P')",0.051,0.979,6.151, Number_Projects:2 
1216,2_NP,"('Y_L', 'medium_SL', 'low_S', 'standard_H')",0.063,0.979,6.15, Number_Projects:2 
1199,2_NP,"('Y_L', 'medium_SL', 'low_S', 'standard_H', 'N_WA', 'N_P')",0.059,0.979,6.15, Number_Projects:2 
876,2_NP,"('Y_L', 'insufficient_LE', 'medium_SL', 'low_S')",0.053,0.979,6.15, Number_Projects:2 
871,2_NP,"('Y_L', 'insufficient_LE', 'medium_SL', 'low_S', 'N_P')",0.053,0.979,6.15, Number_Projects:2 
1211,2_NP,"('Y_L', 'medium_SL', 'low_S', 'standard_H', 'N_P')",0.062,0.979,6.149, Number_Projects:2 
1256,2_NP,"('Y_L', 'medium_SL', 'standard_H')",0.102,0.978,6.144, Number_Projects:2 
1252,2_NP,"('Y_L', 'medium_SL', 'standard_H', 'N_P')",0.101,0.978,6.143, Number_Projects:2 
1247,2_NP,"('Y_L', 'medium_SL', 'standard_H', 'N_WA')",0.097,0.978,6.142, Number_Projects:2 
1242,2_NP,"('Y_L', 'medium_SL', 'standard_H', 'N_WA', 'N_P')",0.096,0.978,6.141, Number_Projects:2 
1016,2_NP,"('Y_L', 'insufficient_LE', '3_T')",0.086,0.977,6.139, Number_Projects:2 
1012,2_NP,"('Y_L', 'insufficient_LE', '3_T', 'N_P')",0.086,0.977,6.138, Number_Projects:2 
1007,2_NP,"('Y_L', 'insufficient_LE', '3_T', 'N_WA')",0.082,0.976,6.132, Number_Projects:2 
1002,2_NP,"('Y_L', 'insufficient_LE', '3_T', 'N_WA', 'N_P')",0.082,0.976,6.131, Number_Projects:2 
920,2_NP,"('Y_L', 'insufficient_LE', 'medium_SL')",0.087,0.974,6.116, Number_Projects:2 
916,2_NP,"('Y_L', 'insufficient_LE', 'medium_SL', 'N_P')",0.086,0.974,6.115, Number_Projects:2 
911,2_NP,"('Y_L', 'insufficient_LE', 'medium_SL', 'N_WA')",0.083,0.973,6.113, Number_Projects:2 
906,2_NP,"('Y_L', 'insufficient_LE', 'medium_SL', 'N_WA', 'N_P')",0.082,0.973,6.112, Number_Projects:2 
972,2_NP,"('Y_L', 'insufficient_LE', '3_T', 'low_S')",0.053,0.972,6.105, Number_Projects:2 
967,2_NP,"('Y_L', 'insufficient_LE', '3_T', 'low_S', 'N_P')",0.053,0.972,6.104, Number_Projects:2 
955,2_NP,"('Y_L', 'insufficient_LE', '3_T', 'low_S', 'N_WA', 'N_P')",0.05,0.97,6.096, Number_Projects:2 
961,2_NP,"('Y_L', 'insufficient_LE', '3_T', 'low_S', 'N_WA')",0.051,0.971,6.096, Number_Projects:2 
1423,2_NP,"('insufficient_LE', 'medium_SL', '3_T', 'low_S', 'standard_H', 'N_WA')",0.052,0.965,6.062, Number_Projects:2 
1349,2_NP,"('Y_L', '3_T', 'N_P')",0.101,0.965,6.061, Number_Projects:2 
1416,2_NP,"('insufficient_LE', 'medium_SL', '3_T', 'low_S', 'standard_H', 'N_WA', 'N_P')",0.052,0.965,6.061, Number_Projects:2 
1341,2_NP,"('Y_L', '3_T', 'N_WA', 'N_P')",0.096,0.964,6.055, Number_Projects:2 
1352,2_NP,"('Y_L', '3_T')",0.102,0.963,6.051, Number_Projects:2 
1345,2_NP,"('Y_L', '3_T', 'N_WA')",0.097,0.962,6.044, Number_Projects:2 
1071,2_NP,"('Y_L', 'insufficient_LE', 'standard_H', 'N_WA')",0.083,0.961,6.037, Number_Projects:2 
1066,2_NP,"('Y_L', 'insufficient_LE', 'standard_H', 'N_WA', 'N_P')",0.082,0.961,6.036, Number_Projects:2 
1080,2_NP,"('Y_L', 'insufficient_LE', 'standard_H')",0.087,0.96,6.03, Number_Projects:2 
1076,2_NP,"('Y_L', 'insufficient_LE', 'standard_H', 'N_P')",0.086,0.96,6.029, Number_Projects:2 
1312,2_NP,"('Y_L', '3_T', 'low_S', 'N_P')",0.062,0.957,6.01, Number_Projects:2 
1029,2_NP,"('Y_L', 'insufficient_LE', 'low_S', 'standard_H', 'N_WA')",0.051,0.956,6.006, Number_Projects:2 
1302,2_NP,"('Y_L', '3_T', 'low_S', 'N_WA', 'N_P')",0.059,0.956,6.005, Number_Projects:2 
1023,2_NP,"('Y_L', 'insufficient_LE', 'low_S', 'standard_H', 'N_WA', 'N_P')",0.051,0.956,6.005, Number_Projects:2 
1436,2_NP,"('insufficient_LE', 'medium_SL', '3_T', 'low_S', 'standard_H')",0.054,0.955,6.001, Number_Projects:2 
1430,2_NP,"('insufficient_LE', 'medium_SL', '3_T', 'low_S', 'standard_H', 'N_P')",0.054,0.955,6.0, Number_Projects:2 
1316,2_NP,"('Y_L', '3_T', 'low_S')",0.063,0.954,5.994, Number_Projects:2 
1040,2_NP,"('Y_L', 'insufficient_LE', 'low_S', 'standard_H')",0.053,0.954,5.989, Number_Projects:2 
1035,2_NP,"('Y_L', 'insufficient_LE', 'low_S', 'standard_H', 'N_P')",0.053,0.953,5.988, Number_Projects:2 
1307,2_NP,"('Y_L', '3_T', 'low_S', 'N_WA')",0.06,0.953,5.987, Number_Projects:2 
1449,2_NP,"('insufficient_LE', 'medium_SL', '3_T', 'low_S', 'N_WA')",0.052,0.95,5.966, Number_Projects:2 
1443,2_NP,"('insufficient_LE', 'medium_SL', '3_T', 'low_S', 'N_WA', 'N_P')",0.052,0.95,5.965, Number_Projects:2 
1236,2_NP,"('Y_L', 'medium_SL', 'low_S')",0.063,0.942,5.919, Number_Projects:2 
1232,2_NP,"('Y_L', 'medium_SL', 'low_S', 'N_P')",0.063,0.942,5.916, Number_Projects:2 
1227,2_NP,"('Y_L', 'medium_SL', 'low_S', 'N_WA')",0.06,0.942,5.915, Number_Projects:2 
1222,2_NP,"('Y_L', 'medium_SL', 'low_S', 'N_WA', 'N_P')",0.06,0.941,5.913, Number_Projects:2 
1467,2_NP,"('insufficient_LE', 'medium_SL', '3_T', 'standard_H', 'N_WA', 'N_P')",0.085,0.941,5.909, Number_Projects:2 
1460,2_NP,"('insufficient_LE', 'medium_SL', '3_T', 'low_S')",0.054,0.94,5.905, Number_Projects:2 
1455,2_NP,"('insufficient_LE', 'medium_SL', '3_T', 'low_S', 'N_P')",0.054,0.94,5.903, Number_Projects:2 
1272,2_NP,"('Y_L', 'medium_SL')",0.103,0.937,5.883, Number_Projects:2 
1473,2_NP,"('insufficient_LE', 'medium_SL', '3_T', 'standard_H', 'N_WA')",0.085,0.936,5.881, Number_Projects:2 
1269,2_NP,"('Y_L', 'medium_SL', 'N_P')",0.102,0.936,5.88, Number_Projects:2 
1265,2_NP,"('Y_L', 'medium_SL', 'N_WA')",0.098,0.936,5.876, Number_Projects:2 
1261,2_NP,"('Y_L', 'medium_SL', 'N_WA', 'N_P')",0.097,0.935,5.874, Number_Projects:2 
1479,2_NP,"('insufficient_LE', 'medium_SL', '3_T', 'standard_H', 'N_P')",0.089,0.932,5.851, Number_Projects:2 
1389,2_NP,"('Y_L', 'standard_H', 'N_WA', 'N_P')",0.097,0.928,5.831, Number_Projects:2 
1397,2_NP,"('Y_L', 'standard_H', 'N_P')",0.102,0.928,5.829, Number_Projects:2 
1484,2_NP,"('insufficient_LE', 'medium_SL', '3_T', 'standard_H')",0.09,0.927,5.826, Number_Projects:2 
1393,2_NP,"('Y_L', 'standard_H', 'N_WA')",0.097,0.927,5.823, Number_Projects:2 
1400,2_NP,"('Y_L', 'standard_H')",0.102,0.927,5.822, Number_Projects:2 
1358,2_NP,"('Y_L', 'low_S', 'standard_H', 'N_WA', 'N_P')",0.06,0.923,5.795, Number_Projects:2 
1490,2_NP,"('insufficient_LE', 'medium_SL', '3_T', 'N_WA', 'N_P')",0.085,0.922,5.793, Number_Projects:2 
1368,2_NP,"('Y_L', 'low_S', 'standard_H', 'N_P')",0.062,0.921,5.786, Number_Projects:2 
1363,2_NP,"('Y_L', 'low_S', 'standard_H', 'N_WA')",0.06,0.92,5.78, Number_Projects:2 
1372,2_NP,"('Y_L', 'low_S', 'standard_H')",0.063,0.919,5.773, Number_Projects:2 
1495,2_NP,"('insufficient_LE', 'medium_SL', '3_T', 'N_WA')",0.085,0.918,5.767, Number_Projects:2 
1597,2_NP,"('insufficient_LE', '3_T', 'low_S', 'standard_H', 'N_WA')",0.052,0.917,5.761, Number_Projects:2 
1591,2_NP,"('insufficient_LE', '3_T', 'low_S', 'standard_H', 'N_WA', 'N_P')",0.052,0.917,5.759, Number_Projects:2 
1500,2_NP,"('insufficient_LE', 'medium_SL', '3_T', 'N_P')",0.089,0.914,5.742, Number_Projects:2 
1504,2_NP,"('insufficient_LE', 'medium_SL', '3_T')",0.09,0.91,5.718, Number_Projects:2 
728,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', '3_T', 'low_S', 'standard_H', 'N_WA')",0.051,0.977,4.103, Left:Y 
720,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', '3_T', 'low_S', 'standard_H', 'N_WA', 'N_P')",0.05,0.977,4.102, Left:Y 
758,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', '3_T', 'low_S', 'N_WA')",0.051,0.976,4.098, Left:Y 
751,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', '3_T', 'low_S', 'N_WA', 'N_P')",0.05,0.975,4.097, Left:Y 
743,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', '3_T', 'low_S', 'standard_H')",0.053,0.975,4.097, Left:Y 
736,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', '3_T', 'low_S', 'standard_H', 'N_P')",0.053,0.975,4.097, Left:Y 
765,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', '3_T', 'low_S', 'N_P')",0.053,0.973,4.087, Left:Y 
771,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', '3_T', 'low_S')",0.053,0.973,4.087, Left:Y 
779,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', '3_T', 'standard_H', 'N_WA', 'N_P')",0.082,0.966,4.058, Left:Y 
786,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', '3_T', 'standard_H', 'N_WA')",0.082,0.965,4.052, Left:Y 
806,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', '3_T', 'N_WA', 'N_P')",0.082,0.965,4.052, Left:Y 
934,Y_L,"('2_NP', 'insufficient_LE', '3_T', 'low_S', 'standard_H', 'N_WA')",0.051,0.964,4.051, Left:Y 
927,Y_L,"('2_NP', 'insufficient_LE', '3_T', 'low_S', 'standard_H', 'N_WA', 'N_P')",0.05,0.964,4.05, Left:Y 
793,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', '3_T', 'standard_H', 'N_P')",0.086,0.963,4.046, Left:Y 
812,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', '3_T', 'N_WA')",0.082,0.963,4.046, Left:Y 
799,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', '3_T', 'standard_H')",0.086,0.962,4.041, Left:Y 
947,Y_L,"('2_NP', 'insufficient_LE', '3_T', 'low_S', 'standard_H')",0.053,0.961,4.038, Left:Y 
941,Y_L,"('2_NP', 'insufficient_LE', '3_T', 'low_S', 'standard_H', 'N_P')",0.053,0.961,4.037, Left:Y 
818,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', '3_T', 'N_P')",0.086,0.958,4.025, Left:Y 
838,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', 'low_S', 'standard_H', 'N_WA')",0.051,0.957,4.021, Left:Y 
831,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', 'low_S', 'standard_H', 'N_WA', 'N_P')",0.051,0.957,4.02, Left:Y 
823,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', '3_T')",0.086,0.957,4.02, Left:Y 
960,Y_L,"('2_NP', 'insufficient_LE', '3_T', 'low_S', 'N_WA')",0.051,0.957,4.02, Left:Y 
954,Y_L,"('2_NP', 'insufficient_LE', '3_T', 'low_S', 'N_WA', 'N_P')",0.05,0.957,4.019, Left:Y 
851,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', 'low_S', 'standard_H')",0.053,0.954,4.009, Left:Y 
845,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', 'low_S', 'standard_H', 'N_P')",0.053,0.954,4.008, Left:Y 
978,Y_L,"('2_NP', 'insufficient_LE', '3_T', 'standard_H', 'N_WA', 'N_P')",0.082,0.953,4.004, Left:Y 
971,Y_L,"('2_NP', 'insufficient_LE', '3_T', 'low_S')",0.053,0.952,3.999, Left:Y 
984,Y_L,"('2_NP', 'insufficient_LE', '3_T', 'standard_H', 'N_WA')",0.082,0.952,3.999, Left:Y 
966,Y_L,"('2_NP', 'insufficient_LE', '3_T', 'low_S', 'N_P')",0.053,0.952,3.999, Left:Y 
990,Y_L,"('2_NP', 'insufficient_LE', '3_T', 'standard_H', 'N_P')",0.086,0.949,3.986, Left:Y 
995,Y_L,"('2_NP', 'insufficient_LE', '3_T', 'standard_H')",0.086,0.948,3.982, Left:Y 
864,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', 'low_S', 'N_WA')",0.051,0.948,3.981, Left:Y 
858,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', 'low_S', 'N_WA', 'N_P')",0.051,0.948,3.98, Left:Y 
1110,Y_L,"('2_NP', 'medium_SL', '3_T', 'low_S', 'standard_H', 'N_WA')",0.059,0.947,3.976, Left:Y 
1103,Y_L,"('2_NP', 'medium_SL', '3_T', 'low_S', 'standard_H', 'N_WA', 'N_P')",0.059,0.946,3.975, Left:Y 
1001,Y_L,"('2_NP', 'insufficient_LE', '3_T', 'N_WA', 'N_P')",0.082,0.946,3.974, Left:Y 
1006,Y_L,"('2_NP', 'insufficient_LE', '3_T', 'N_WA')",0.082,0.945,3.969, Left:Y 
2592,Y_L,"('insufficient_LE', 'medium_SL', '3_T', 'low_S', 'standard_H', 'N_WA')",0.051,0.944,3.965, Left:Y 
2585,Y_L,"('insufficient_LE', 'medium_SL', '3_T', 'low_S', 'standard_H', 'N_WA', 'N_P')",0.05,0.944,3.964, Left:Y 
875,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', 'low_S')",0.053,0.942,3.958, Left:Y 
1123,Y_L,"('2_NP', 'medium_SL', '3_T', 'low_S', 'standard_H')",0.062,0.942,3.957, Left:Y 
870,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', 'low_S', 'N_P')",0.053,0.942,3.957, Left:Y 
1117,Y_L,"('2_NP', 'medium_SL', '3_T', 'low_S', 'standard_H', 'N_P')",0.061,0.942,3.955, Left:Y 
1011,Y_L,"('2_NP', 'insufficient_LE', '3_T', 'N_P')",0.086,0.938,3.94, Left:Y 
1015,Y_L,"('2_NP', 'insufficient_LE', '3_T')",0.086,0.937,3.936, Left:Y 
882,Y_L,"('2_NP', 'insufficient_LE', 'medium_SL', 'standard_H', 'N_WA', 'N_P')",0.082,0.935,3.929, Left:Y 
1028,Y_L,"('2_NP', 'insufficient_LE', 'low_S', 'standard_H', 'N_WA')",0.051,0.935,3.928, Left:Y 
1022,Y_L,"('2_NP', 'insufficient_LE', 'low_S', 'standard_H', 'N_WA', 'N_P')",0.051,0.935,3.927, Left:Y 
