ITEMSET,SUPPORT
"('0_SL', '6_NP', 'N_WA', 'N_P')",0.04
"('0_SL', '6_NP', 'N_P')",0.04
"('0_SL', '4_T')",0.06
"('0_SL', '4_T', 'Y_L')",0.05
"('0_SL', '4_T', 'Y_L', 'medium_S', 'N_P')",0.02
"('0_SL', '4_T', 'Y_L', 'low_S')",0.03
"('0_SL', '4_T', 'Y_L', 'low_S', 'N_WA')",0.03
"('0_SL', '4_T', 'Y_L', 'low_S', 'N_WA', 'N_P')",0.03
"('0_SL', '4_T', 'Y_L', 'low_S', 'N_P')",0.03
"('0_SL', '4_T', 'Y_L', 'N_WA')",0.05
"('0_SL', '4_T', 'Y_L', 'N_WA', 'N_P')",0.05
"('0_SL', '4_T', 'Y_L', 'N_P')",0.05
"('0_SL', '4_T', 'medium_S')",0.02
"('0_SL', '4_T', 'medium_S', 'N_WA')",0.02
"('0_SL', '4_T', 'medium_S', 'N_WA', 'N_P')",0.02
"('0_SL', '4_T', 'medium_S', 'N_P')",0.02
"('0_SL', '4_T', 'low_S')",0.03
"('0_SL', '4_T', 'low_S', 'N_WA')",0.03
"('0_SL', '4_T', 'low_S', 'N_WA', 'N_P')",0.03
"('0_SL', '4_T', 'low_S', 'N_P')",0.03
"('0_SL', '4_T', 'N_WA')",0.05
"('0_SL', '4_T', 'N_WA', 'N_P')",0.05
"('0_SL', '4_T', 'N_P')",0.06
"('0_SL', 'Y_L')",0.06
"('0_SL', 'Y_L', 'medium_S', 'N_WA', 'N_P')",0.02
"('0_SL', 'Y_L', 'medium_S', 'N_P')",0.02
"('0_SL', 'Y_L', 'low_S')",0.04
"('0_SL', 'Y_L', 'low_S', 'N_WA')",0.03
"('0_SL', 'Y_L', 'low_S', 'N_WA', 'N_P')",0.03
"('0_SL', 'Y_L', 'low_S', 'N_P')",0.04
"('0_SL', 'Y_L', 'N_WA')",0.06
"('0_SL', 'Y_L', 'N_WA', 'N_P')",0.06
"('0_SL', 'Y_L', 'N_P')",0.06
"('0_SL', '0_D', 'N_P')",0.02
"('0_SL', 'medium_S')",0.03
"('0_SL', 'medium_S', 'N_WA')",0.03
"('0_SL', 'medium_S', 'N_WA', 'N_P')",0.03
"('0_SL', 'medium_S', 'N_P')",0.03
"('0_SL', 'low_S')",0.04
"('0_SL', 'low_S', 'N_WA')",0.04
"('0_SL', 'low_S', 'N_WA', 'N_P')",0.04
"('0_SL', 'low_S', 'N_P')",0.04
"('0_SL', 'N_WA')",0.07
"('0_SL', 'N_WA', 'N_P')",0.07
"('0_SL', 'N_P')",0.07
"('7_H', '2_T')",0.02
"('7_H', '2_T', 'N_L')",0.02
"('7_H', '2_T', 'N_L', 'N_P')",0.02
"('7_H', '2_T', 'N_P')",0.02
"('7_H', '3_NP')",0.03
"('7_H', '3_NP', 'N_L')",0.03
"('7_H', '3_NP', 'N_L', 'N_WA')",0.02
"('7_H', '3_NP', 'N_L', 'N_WA', 'N_P')",0.02
"('7_H', '3_NP', 'N_L', 'N_P')",0.03
"('7_H', '3_NP', 'N_WA')",0.02
"('7_H', '3_NP', 'N_WA', 'N_P')",0.02
"('7_H', '3_NP', 'N_P')",0.03
"('7_H', '0_D')",0.02
"('7_H', '4_NP')",0.03
"('7_H', '4_NP', 'N_L')",0.03
"('7_H', '4_NP', 'N_L', 'N_WA')",0.02
"('7_H', '4_NP', 'N_L', 'N_WA', 'N_P')",0.02
"('7_H', '4_NP', 'N_L', 'N_P')",0.03
"('7_H', '4_NP', 'N_WA')",0.02
"('7_H', '4_NP', 'N_WA', 'N_P')",0.02
"('7_H', '4_NP', 'N_P')",0.03
"('7_H', '3_T')",0.03
"('7_H', '3_T', 'N_L')",0.03
"('7_H', '3_T', 'N_L', 'N_WA')",0.03
"('7_H', '3_T', 'N_L', 'N_WA', 'N_P')",0.02
"('7_H', '3_T', 'N_L', 'N_P')",0.03
"('7_H', '3_T', 'N_WA')",0.03
"('7_H', '3_T', 'N_WA', 'N_P')",0.03
"('7_H', '3_T', 'N_P')",0.03
"('7_H', 'medium_S')",0.03
"('7_H', 'medium_S', 'N_L')",0.03
"('7_H', 'medium_S', 'N_L', 'N_WA')",0.03
"('7_H', 'medium_S', 'N_L', 'N_WA', 'N_P')",0.03
"('7_H', 'medium_S', 'N_L', 'N_P')",0.03
"('7_H', 'medium_S', 'N_WA')",0.03
"('7_H', 'medium_S', 'N_WA', 'N_P')",0.03
"('7_H', 'medium_S', 'N_P')",0.03
"('7_H', 'low_S')",0.03
"('7_H', 'low_S', 'N_L')",0.03
"('7_H', 'low_S', 'N_L', 'N_WA')",0.03
"('7_H', 'low_S', 'N_L', 'N_WA', 'N_P')",0.03
"('7_H', 'low_S', 'N_L', 'N_P')",0.03
"('7_H', 'low_S', 'N_WA')",0.03
"('7_H', 'low_S', 'N_WA', 'N_P')",0.03
"('7_H', 'low_S', 'N_P')",0.03
"('7_H', 'N_L')",0.07
"('7_H', 'N_L', 'N_WA')",0.06
"('7_H', 'N_L', 'N_WA', 'N_P')",0.06
"('7_H', 'N_L', 'N_P')",0.07
"('7_H', 'N_WA')",0.06
"('7_H', 'N_WA', 'N_P')",0.06
"('7_H', 'N_P')",0.07
"('8_H', '3_NP')",0.02
"('8_H', '3_NP', 'N_L')",0.02
"('8_H', '3_NP', 'N_L', 'N_P')",0.02
"('8_H', '3_NP', 'N_P')",0.02
"('8_H', '0_D')",0.02
"('8_H', '0_D', 'N_L')",0.02
"('8_H', '0_D', 'N_L', 'N_P')",0.02
"('8_H', '0_D', 'N_P')",0.02
"('8_H', '4_NP')",0.03
"('8_H', '4_NP', 'N_L')",0.02
"('8_H', '4_NP', 'N_L', 'N_WA')",0.02
"('8_H', '4_NP', 'N_L', 'N_P')",0.02
"('8_H', '4_NP', 'N_WA')",0.02
"('8_H', '4_NP', 'N_WA', 'N_P')",0.02
"('8_H', '4_NP', 'N_P')",0.03
"('8_H', '3_T')",0.03
"('8_H', '3_T', 'N_L')",0.03
"('8_H', '3_T', 'N_L', 'N_WA')",0.02
"('8_H', '3_T', 'N_L', 'N_WA', 'N_P')",0.02
"('8_H', '3_T', 'N_L', 'N_P')",0.03
"('8_H', '3_T', 'N_WA')",0.02
"('8_H', '3_T', 'N_WA', 'N_P')",0.02
"('8_H', '3_T', 'N_P')",0.03
"('8_H', 'medium_S')",0.03
"('8_H', 'medium_S', 'N_L')",0.03
"('8_H', 'medium_S', 'N_L', 'N_WA')",0.02
"('8_H', 'medium_S', 'N_L', 'N_WA', 'N_P')",0.02
"('8_H', 'medium_S', 'N_L', 'N_P')",0.03
"('8_H', 'medium_S', 'N_WA')",0.03
"('8_H', 'medium_S', 'N_WA', 'N_P')",0.03
"('8_H', 'medium_S', 'N_P')",0.03
"('8_H', 'low_S')",0.04
"('8_H', 'low_S', 'N_L')",0.03
"('8_H', 'low_S', 'N_L', 'N_WA')",0.02
"('8_H', 'low_S', 'N_L', 'N_WA', 'N_P')",0.02
"('8_H', 'low_S', 'N_L', 'N_P')",0.03
"('8_H', 'low_S', 'N_WA')",0.03
"('8_H', 'low_S', 'N_WA', 'N_P')",0.03
"('8_H', 'low_S', 'N_P')",0.04
"('8_H', 'N_L')",0.07
"('8_H', 'N_L', 'N_WA')",0.05
"('8_H', 'N_L', 'N_WA', 'N_P')",0.05
"('8_H', 'N_L', 'N_P')",0.07
"('8_H', 'N_WA')",0.06
"('8_H', 'N_WA', 'N_P')",0.06
"('8_H', 'N_P')",0.07
"('12_LE', '4_NP')",0.02
"('12_LE', '4_NP', 'N_L')",0.02
"('12_LE', '4_NP', 'N_L', 'N_P')",0.02
"('12_LE', '4_NP', 'N_WA')",0.02
"('12_LE', '4_NP', 'N_WA', 'N_P')",0.02
"('12_LE', '4_NP', 'N_P')",0.02
"('12_LE', '3_T')",0.02
"('12_LE', '3_T', 'N_L')",0.02
"('12_LE', '3_T', 'N_L', 'N_P')",0.02
"('12_LE', '3_T', 'N_P')",0.02
"('12_LE', 'medium_S')",0.03
"('12_LE', 'medium_S', 'N_L')",0.02
"('12_LE', 'medium_S', 'N_L', 'N_P')",0.02
"('12_LE', 'medium_S', 'N_WA')",0.03
"('12_LE', 'medium_S', 'N_WA', 'N_P')",0.03
"('12_LE', 'medium_S', 'N_P')",0.03
"('12_LE', 'low_S')",0.04
"('12_LE', 'low_S', 'N_L')",0.03
"('12_LE', 'low_S', 'N_L', 'N_WA')",0.02
"('12_LE', 'low_S', 'N_L', 'N_WA', 'N_P')",0.02
"('12_LE', 'low_S', 'N_L', 'N_P')",0.03
"('12_LE', 'low_S', 'N_WA')",0.03
"('12_LE', 'low_S', 'N_WA', 'N_P')",0.03
"('12_LE', 'low_S', 'N_P')",0.04
"('12_LE', 'N_L')",0.06
"('12_LE', 'N_L', 'N_WA')",0.05
"('12_LE', 'N_L', 'N_WA', 'N_P')",0.04
"('12_LE', 'N_L', 'N_P')",0.05
"('12_LE', 'N_WA')",0.06
"('12_LE', 'N_WA', 'N_P')",0.06
"('12_LE', 'N_P')",0.07
"('7_SL', '2_T')",0.02
"('7_SL', '2_T', 'N_L')",0.02
"('7_SL', '2_T', 'N_L', 'N_P')",0.02
"('7_SL', '2_T', 'N_WA')",0.02
"('7_SL', '2_T', 'N_P')",0.02
"('7_SL', '3_NP')",0.03
"('7_SL', '3_NP', 'N_L')",0.03
"('7_SL', '3_NP', 'N_L', 'N_WA')",0.02
"('7_SL', '3_NP', 'N_L', 'N_WA', 'N_P')",0.02
"('7_SL', '3_NP', 'N_L', 'N_P')",0.03
"('7_SL', '3_NP', 'N_WA')",0.03
"('7_SL', '3_NP', 'N_WA', 'N_P')",0.02
"('7_SL', '3_NP', 'N_P')",0.03
"('7_SL', '0_D')",0.02
"('7_SL', '4_NP')",0.03
"('7_SL', '4_NP', 'N_L')",0.03
"('7_SL', '4_NP', 'N_L', 'N_WA')",0.02
"('7_SL', '4_NP', 'N_L', 'N_WA', 'N_P')",0.02
"('7_SL', '4_NP', 'N_L', 'N_P')",0.02
"('7_SL', '4_NP', 'N_WA')",0.02
"('7_SL', '4_NP', 'N_WA', 'N_P')",0.02
"('7_SL', '4_NP', 'N_P')",0.03
"('7_SL', '3_T')",0.03
"('7_SL', '3_T', 'N_L')",0.03
"('7_SL', '3_T', 'N_L', 'N_WA')",0.03
"('7_SL', '3_T', 'N_L', 'N_WA', 'N_P')",0.03
"('7_SL', '3_T', 'N_L', 'N_P')",0.03
"('7_SL', '3_T', 'N_WA')",0.03
"('7_SL', '3_T', 'N_WA', 'N_P')",0.03
"('7_SL', '3_T', 'N_P')",0.03
"('7_SL', 'medium_S')",0.03
"('7_SL', 'medium_S', 'N_L')",0.03
"('7_SL', 'medium_S', 'N_L', 'N_WA')",0.03
"('7_SL', 'medium_S', 'N_L', 'N_WA', 'N_P')",0.03
"('7_SL', 'medium_S', 'N_L', 'N_P')",0.03
"('7_SL', 'medium_S', 'N_WA')",0.03
"('7_SL', 'medium_S', 'N_WA', 'N_P')",0.03
"('7_SL', 'medium_S', 'N_P')",0.03
"('7_SL', 'low_S')",0.03
"('7_SL', 'low_S', 'N_L')",0.03
"('7_SL', 'low_S', 'N_L', 'N_WA')",0.03
"('7_SL', 'low_S', 'N_L', 'N_WA', 'N_P')",0.03
"('7_SL', 'low_S', 'N_L', 'N_P')",0.03
"('7_SL', 'low_S', 'N_WA')",0.03
"('7_SL', 'low_S', 'N_WA', 'N_P')",0.03
"('7_SL', 'low_S', 'N_P')",0.03
"('7_SL', 'N_L')",0.07
"('7_SL', 'N_L', 'N_WA')",0.06
"('7_SL', 'N_L', 'N_WA', 'N_P')",0.06
"('7_SL', 'N_L', 'N_P')",0.07
"('7_SL', 'N_WA')",0.06
"('7_SL', 'N_WA', 'N_P')",0.06
"('7_SL', 'N_P')",0.07
"('2_H', '5_SL')",0.02
"('2_H', '5_SL', '2_NP')",0.02
"('2_H', '5_SL', '2_NP', 'Y_L', '3_T')",0.02
"('2_H', '5_SL', '2_NP', 'Y_L', '3_T', 'N_WA')",0.02
"('2_H', '5_SL', '2_NP', 'Y_L', '3_T', 'N_WA', 'N_P')",0.02
"('2_H', '5_SL', '2_NP', 'Y_L', '3_T', 'N_P')",0.02
"('2_H', '5_SL', '2_NP', '3_T')",0.02
"('2_H', '5_SL', '2_NP', '3_T', 'N_WA')",0.02
"('2_H', '5_SL', '2_NP', '3_T', 'N_WA', 'N_P')",0.02
"('2_H', '5_SL', '2_NP', '3_T', 'N_P')",0.02
"('2_H', '5_SL', '2_NP', 'N_WA')",0.02
"('2_H', '5_SL', '2_NP', 'N_WA', 'N_P')",0.02
"('2_H', '5_SL', '2_NP', 'N_P')",0.02
"('2_H', '5_SL', 'Y_L', '3_T')",0.02
"('2_H', '5_SL', 'Y_L', '3_T', 'N_WA')",0.02
"('2_H', '5_SL', 'Y_L', '3_T', 'N_WA', 'N_P')",0.02
"('2_H', '5_SL', 'Y_L', '3_T', 'N_P')",0.02
"('2_H', '5_SL', '3_T')",0.02
"('2_H', '5_SL', '3_T', 'N_WA')",0.02
"('2_H', '5_SL', '3_T', 'N_WA', 'N_P')",0.02
"('2_H', '5_SL', '3_T', 'N_P')",0.02
"('2_H', '5_SL', 'N_WA')",0.02
"('2_H', '5_SL', 'N_WA', 'N_P')",0.02
"('2_H', '5_SL', 'N_P')",0.02
"('2_H', '2_NP')",0.04
"('2_H', '2_NP', 'Y_L')",0.04
"('2_H', '2_NP', 'Y_L', '3_T')",0.04
"('2_H', '2_NP', 'Y_L', '3_T', 'low_S')",0.02
"('2_H', '2_NP', 'Y_L', '3_T', 'low_S', 'N_WA')",0.02
"('2_H', '2_NP', 'Y_L', '3_T', 'low_S', 'N_WA', 'N_P')",0.02
"('2_H', '2_NP', 'Y_L', '3_T', 'low_S', 'N_P')",0.02
"('2_H', '2_NP', 'Y_L', '3_T', 'N_WA')",0.03
"('2_H', '2_NP', 'Y_L', '3_T', 'N_WA', 'N_P')",0.03
"('2_H', '2_NP', 'Y_L', '3_T', 'N_P')",0.04
"('2_H', '2_NP', 'Y_L', 'low_S')",0.02
"('2_H', '2_NP', 'Y_L', 'low_S', 'N_WA')",0.02
"('2_H', '2_NP', 'Y_L', 'low_S', 'N_WA', 'N_P')",0.02
"('2_H', '2_NP', 'Y_L', 'low_S', 'N_P')",0.02
"('2_H', '2_NP', 'Y_L', 'N_WA')",0.03
"('2_H', '2_NP', 'Y_L', 'N_WA', 'N_P')",0.03
"('2_H', '2_NP', 'Y_L', 'N_P')",0.04
"('2_H', '2_NP', '3_T')",0.04
"('2_H', '2_NP', '3_T', 'low_S')",0.02
"('2_H', '2_NP', '3_T', 'low_S', 'N_WA')",0.02
"('2_H', '2_NP', '3_T', 'low_S', 'N_WA', 'N_P')",0.02
"('2_H', '2_NP', '3_T', 'low_S', 'N_P')",0.02
"('2_H', '2_NP', '3_T', 'N_WA')",0.04
"('2_H', '2_NP', '3_T', 'N_WA', 'N_P')",0.04
"('2_H', '2_NP', '3_T', 'N_P')",0.04
"('2_H', '2_NP', 'low_S')",0.02
"('2_H', '2_NP', 'low_S', 'N_WA')",0.02
"('2_H', '2_NP', 'low_S', 'N_WA', 'N_P')",0.02
"('2_H', '2_NP', 'low_S', 'N_P')",0.02
"('2_H', '2_NP', 'N_WA')",0.04
"('2_H', '2_NP', 'N_WA', 'N_P')",0.04
"('2_H', '2_NP', 'N_P')",0.04
"('2_H', 'Y_L')",0.04
"('2_H', 'Y_L', '3_T')",0.04
"('2_H', 'Y_L', '3_T', 'low_S')",0.02
"('2_H', 'Y_L', '3_T', 'low_S', 'N_WA')",0.02
"('2_H', 'Y_L', '3_T', 'low_S', 'N_WA', 'N_P')",0.02
"('2_H', 'Y_L', '3_T', 'low_S', 'N_P')",0.02
"('2_H', 'Y_L', '3_T', 'N_WA')",0.03
"('2_H', 'Y_L', '3_T', 'N_WA', 'N_P')",0.03
"('2_H', 'Y_L', '3_T', 'N_P')",0.04
"('2_H', 'Y_L', 'low_S')",0.02
"('2_H', 'Y_L', 'low_S', 'N_WA')",0.02
"('2_H', 'Y_L', 'low_S', 'N_WA', 'N_P')",0.02
"('2_H', 'Y_L', 'low_S', 'N_P')",0.02
"('2_H', 'Y_L', 'N_WA')",0.04
"('2_H', 'Y_L', 'N_WA', 'N_P')",0.04
"('2_H', 'Y_L', 'N_P')",0.04
"('2_H', '0_D')",0.02
"('2_H', '0_D', 'N_P')",0.02
"('2_H', '3_T')",0.05
"('2_H', '3_T', 'medium_S')",0.02
"('2_H', '3_T', 'medium_S', 'N_P')",0.02
"('2_H', '3_T', 'low_S')",0.03
"('2_H', '3_T', 'low_S', 'N_WA')",0.03
"('2_H', '3_T', 'low_S', 'N_WA', 'N_P')",0.03
"('2_H', '3_T', 'low_S', 'N_P')",0.03
"('2_H', '3_T', 'N_WA')",0.05
"('2_H', '3_T', 'N_WA', 'N_P')",0.05
"('2_H', '3_T', 'N_P')",0.05
"('2_H', 'medium_S')",0.03
"('2_H', 'medium_S', 'N_WA')",0.03
"('2_H', 'medium_S', 'N_WA', 'N_P')",0.03
"('2_H', 'medium_S', 'N_P')",0.03
"('2_H', 'low_S')",0.04
"('2_H', 'low_S', 'N_WA')",0.04
"('2_H', 'low_S', 'N_WA', 'N_P')",0.03
"('2_H', 'low_S', 'N_P')",0.04
"('2_H', 'N_L')",0.04
"('2_H', 'N_L', 'N_WA')",0.03
"('2_H', 'N_L', 'N_WA', 'N_P')",0.03
"('2_H', 'N_L', 'N_P')",0.04
"('2_H', 'N_WA')",0.07
"('2_H', 'N_WA', 'N_P')",0.07
"('2_H', 'N_P')",0.07
"('5_H', '2_T')",0.02
"('5_H', '2_T', 'N_L')",0.02
"('5_H', '2_T', 'N_L', 'N_P')",0.02
"('5_H', '2_T', 'N_P')",0.02
"('5_H', '3_NP')",0.03
"('5_H', '3_NP', 'N_L')",0.03
"('5_H', '3_NP', 'N_L', 'N_WA')",0.02
"('5_H', '3_NP', 'N_L', 'N_WA', 'N_P')",0.02
"('5_H', '3_NP', 'N_L', 'N_P')",0.02
"('5_H', '3_NP', 'N_WA')",0.02
"('5_H', '3_NP', 'N_WA', 'N_P')",0.02
"('5_H', '3_NP', 'N_P')",0.03
"('5_H', '4_NP')",0.03
"('5_H', '4_NP', 'N_L')",0.03
"('5_H', '4_NP', 'N_L', 'N_WA')",0.02
"('5_H', '4_NP', 'N_L', 'N_WA', 'N_P')",0.02
"('5_H', '4_NP', 'N_L', 'N_P')",0.03
"('5_H', '4_NP', 'N_WA')",0.02
"('5_H', '4_NP', 'N_WA', 'N_P')",0.02
"('5_H', '4_NP', 'N_P')",0.03
"('5_H', '3_T')",0.03
"('5_H', '3_T', 'N_L')",0.03
"('5_H', '3_T', 'N_L', 'N_WA')",0.03
"('5_H', '3_T', 'N_L', 'N_WA', 'N_P')",0.03
"('5_H', '3_T', 'N_L', 'N_P')",0.03
"('5_H', '3_T', 'N_WA')",0.03
"('5_H', '3_T', 'N_WA', 'N_P')",0.03
"('5_H', '3_T', 'N_P')",0.03
"('5_H', 'medium_S')",0.03
"('5_H', 'medium_S', 'N_L')",0.03
"('5_H', 'medium_S', 'N_L', 'N_WA')",0.03
"('5_H', 'medium_S', 'N_L', 'N_WA', 'N_P')",0.03
"('5_H', 'medium_S', 'N_L', 'N_P')",0.03
"('5_H', 'medium_S', 'N_WA')",0.03
"('5_H', 'medium_S', 'N_WA', 'N_P')",0.03
"('5_H', 'medium_S', 'N_P')",0.03
"('5_H', 'low_S')",0.04
"('5_H', 'low_S', 'N_L')",0.04
"('5_H', 'low_S', 'N_L', 'N_WA')",0.03
"('5_H', 'low_S', 'N_L', 'N_WA', 'N_P')",0.03
"('5_H', 'low_S', 'N_L', 'N_P')",0.04
"('5_H', 'low_S', 'N_WA')",0.03
"('5_H', 'low_S', 'N_WA', 'N_P')",0.03
"('5_H', 'low_S', 'N_P')",0.04
"('5_H', 'N_L')",0.07
"('5_H', 'N_L', 'N_WA')",0.06
"('5_H', 'N_L', 'N_WA', 'N_P')",0.06
"('5_H', 'N_L', 'N_P')",0.07
"('5_H', 'N_WA')",0.06
"('5_H', 'N_WA', 'N_P')",0.06
"('5_H', 'N_P')",0.07
"('9_SL', '2_T')",0.02
"('9_SL', '2_T', 'N_L')",0.02
"('9_SL', '2_T', 'N_L', 'N_P')",0.02
"('9_SL', '2_T', 'N_P')",0.02
"('9_SL', '3_NP')",0.03
"('9_SL', '3_NP', 'N_L')",0.03
"('9_SL', '3_NP', 'N_L', 'N_WA')",0.02
"('9_SL', '3_NP', 'N_L', 'N_WA', 'N_P')",0.02
"('9_SL', '3_NP', 'N_L', 'N_P')",0.03
"('9_SL', '3_NP', 'N_WA')",0.02
"('9_SL', '3_NP', 'N_WA', 'N_P')",0.02
"('9_SL', '3_NP', 'N_P')",0.03
"('9_SL', '4_NP', 'N_L')",0.03
"('9_SL', '4_NP', 'N_L', 'N_WA')",0.02
"('9_SL', '4_NP', 'N_L', 'N_WA', 'N_P')",0.02
"('9_SL', '4_NP', 'N_L', 'N_P')",0.03
"('9_SL', '3_T')",0.03
"('9_SL', '3_T', 'N_L')",0.03
"('9_SL', '3_T', 'N_L', 'N_WA')",0.03
"('9_SL', '3_T', 'N_L', 'N_WA', 'N_P')",0.03
"('9_SL', '3_T', 'N_L', 'N_P')",0.03
"('9_SL', '3_T', 'N_WA')",0.03
"('9_SL', '3_T', 'N_WA', 'N_P')",0.03
"('9_SL', '3_T', 'N_P')",0.03
"('9_SL', 'medium_S')",0.03
"('9_SL', 'medium_S', 'N_L')",0.03
"('9_SL', 'medium_S', 'N_L', 'N_WA')",0.03
"('9_SL', 'medium_S', 'N_L', 'N_WA', 'N_P')",0.03
"('9_SL', 'medium_S', 'N_L', 'N_P')",0.03
"('9_SL', 'medium_S', 'N_WA')",0.03
"('9_SL', 'medium_S', 'N_WA', 'N_P')",0.03
"('9_SL', 'medium_S', 'N_P')",0.03
"('9_SL', 'low_S')",0.04
"('9_SL', 'low_S', 'N_L')",0.03
"('9_SL', 'low_S', 'N_L', 'N_WA')",0.03
"('9_SL', 'low_S', 'N_L', 'N_WA', 'N_P')",0.03
"('9_SL', 'low_S', 'N_L', 'N_P')",0.03
"('9_SL', 'low_S', 'N_WA')",0.03
"('9_SL', 'low_S', 'N_WA', 'N_P')",0.03
"('9_SL', 'low_S', 'N_P')",0.04
"('9_SL', 'N_L')",0.08
"('9_SL', 'N_L', 'N_WA')",0.06
"('9_SL', 'N_L', 'N_WA', 'N_P')",0.06
"('9_SL', 'N_L', 'N_P')",0.07
"('9_SL', 'N_WA')",0.06
"('9_SL', 'N_WA', 'N_P')",0.06
"('9_SL', 'N_P')",0.08
"('5_SL', '3_LE')",0.02
"('5_SL', '3_LE', '2_NP')",0.02
"('5_SL', '3_LE', '2_NP', 'Y_L', '3_T')",0.02
"('5_SL', '3_LE', '2_NP', 'Y_L', '3_T', 'N_WA', 'N_P')",0.02
"('5_SL', '3_LE', '2_NP', 'Y_L', '3_T', 'N_P')",0.02
"('5_SL', '3_LE', '2_NP', '3_T')",0.02
"('5_SL', '3_LE', '2_NP', '3_T', 'N_WA', 'N_P')",0.02
"('5_SL', '3_LE', '2_NP', '3_T', 'N_P')",0.02
"('5_SL', '3_LE', '2_NP', 'N_WA', 'N_P')",0.02
"('5_SL', '3_LE', '2_NP', 'N_P')",0.02
"('5_SL', '3_LE', 'Y_L')",0.02
"('5_SL', '3_LE', 'Y_L', 'N_WA', 'N_P')",0.02
"('5_SL', '3_LE', 'Y_L', 'N_P')",0.02
"('5_SL', '3_LE', '3_T')",0.02
"('5_SL', '3_LE', '3_T', 'N_WA', 'N_P')",0.02
"('5_SL', '3_LE', '3_T', 'N_P')",0.02
"('5_SL', '3_LE', 'N_WA', 'N_P')",0.02
"('5_SL', '3_LE', 'N_P')",0.02
"('5_SL', '3_H')",0.03
"('5_SL', '3_H', '2_NP')",0.03
"('5_SL', '3_H', '2_NP', 'Y_L', '3_T', 'N_WA', 'N_P')",0.02
"('5_SL', '3_H', '2_NP', 'Y_L', '3_T', 'N_P')",0.02
"('5_SL', '3_H', '2_NP', '3_T', 'N_WA', 'N_P')",0.02
"('5_SL', '3_H', '2_NP', '3_T', 'N_P')",0.03
"('5_SL', '3_H', '2_NP', 'N_WA', 'N_P')",0.02
"('5_SL', '3_H', '2_NP', 'N_P')",0.03
"('5_SL', '3_H', 'Y_L', 'N_WA', 'N_P')",0.02
"('5_SL', '3_H', 'Y_L', 'N_P')",0.02
"('5_SL', '3_H', '3_T', 'N_WA', 'N_P')",0.02
"('5_SL', '3_H', '3_T', 'N_P')",0.03
"('5_SL', '3_H', 'N_WA', 'N_P')",0.02
"('5_SL', '3_H', 'N_P')",0.03
"('5_SL', '2_NP')",0.06
"('5_SL', '2_NP', 'Y_L')",0.06
"('5_SL', '2_NP', 'Y_L', '3_T')",0.06
"('5_SL', '2_NP', 'Y_L', '3_T', 'medium_S')",0.02
"('5_SL', '2_NP', 'Y_L', '3_T', 'medium_S', 'N_WA')",0.02
"('5_SL', '2_NP', 'Y_L', '3_T', 'medium_S', 'N_P')",0.02
"('5_SL', '2_NP', 'Y_L', '3_T', 'low_S')",0.04
"('5_SL', '2_NP', 'Y_L', '3_T', 'low_S', 'N_WA')",0.03
"('5_SL', '2_NP', 'Y_L', '3_T', 'low_S', 'N_WA', 'N_P')",0.03
"('5_SL', '2_NP', 'Y_L', '3_T', 'low_S', 'N_P')",0.03
"('5_SL', '2_NP', 'Y_L', '3_T', 'N_WA')",0.06
"('5_SL', '2_NP', 'Y_L', '3_T', 'N_WA', 'N_P')",0.05
"('5_SL', '2_NP', 'Y_L', '3_T', 'N_P')",0.06
"('5_SL', '2_NP', 'Y_L', 'medium_S')",0.02
"('5_SL', '2_NP', 'Y_L', 'medium_S', 'N_WA')",0.02
"('5_SL', '2_NP', 'Y_L', 'medium_S', 'N_WA', 'N_P')",0.02
"('5_SL', '2_NP', 'Y_L', 'medium_S', 'N_P')",0.02
"('5_SL', '2_NP', 'Y_L', 'N_WA')",0.06
"('5_SL', '2_NP', 'Y_L', 'N_WA', 'N_P')",0.06
"('5_SL', '2_NP', 'Y_L', 'N_P')",0.06
"('5_SL', '2_NP', '3_T')",0.06
"('5_SL', '2_NP', '3_T', 'medium_S')",0.02
"('5_SL', '2_NP', '3_T', 'medium_S', 'N_WA')",0.02
"('5_SL', '2_NP', '3_T', 'medium_S', 'N_WA', 'N_P')",0.02
"('5_SL', '2_NP', '3_T', 'medium_S', 'N_P')",0.02
"('5_SL', '2_NP', '3_T', 'low_S')",0.04
"('5_SL', '2_NP', '3_T', 'low_S', 'N_WA')",0.03
"('5_SL', '2_NP', '3_T', 'low_S', 'N_WA', 'N_P')",0.03
"('5_SL', '2_NP', '3_T', 'low_S', 'N_P')",0.04
"('5_SL', '2_NP', '3_T', 'N_WA')",0.06
"('5_SL', '2_NP', '3_T', 'N_WA', 'N_P')",0.06
"('5_SL', '2_NP', '3_T', 'N_P')",0.06
"('5_SL', '2_NP', 'medium_S')",0.02
"('5_SL', '2_NP', 'medium_S', 'N_WA')",0.02
"('5_SL', '2_NP', 'medium_S', 'N_WA', 'N_P')",0.02
"('5_SL', '2_NP', 'medium_S', 'N_P')",0.02
"('5_SL', '2_NP', 'low_S')",0.04
"('5_SL', '2_NP', 'low_S', 'N_WA')",0.03
"('5_SL', '2_NP', 'low_S', 'N_WA', 'N_P')",0.03
"('5_SL', '2_NP', 'low_S', 'N_P')",0.04
"('5_SL', '2_NP', 'N_WA')",0.06
"('5_SL', '2_NP', 'N_WA', 'N_P')",0.06
"('5_SL', '2_NP', 'N_P')",0.06
"('5_SL', 'Y_L')",0.06
"('5_SL', 'Y_L', '3_T')",0.06
"('5_SL', 'Y_L', '3_T', 'medium_S')",0.02
