ITEMSET,SUPPORT
"('3_NP', '0_D', '3_T', 'N_L', 'N_WA', 'N_P')",0.02
"('3_NP', '0_D', 'medium_S', 'N_L', 'N_WA', 'N_P')",0.03
"('3_NP', '0_D', 'low_S', 'N_L', 'N_WA', 'N_P')",0.03
"('3_NP', '3_T', 'medium_S', 'N_L', 'N_WA', 'N_P')",0.04
"('3_NP', '3_T', 'low_S', 'N_L', 'N_WA', 'N_P')",0.04
"('0_D', '4_NP', '3_T', 'N_L', 'N_WA', 'N_P')",0.03
"('0_D', '4_NP', 'medium_S', 'N_L', 'N_WA', 'N_P')",0.03
"('0_D', '4_NP', 'low_S', 'N_L', 'N_WA', 'N_P')",0.03
"('0_D', '3_T', 'medium_S', 'N_L', 'N_WA', 'N_P')",0.03
"('0_D', '3_T', 'low_S', 'N_L', 'N_WA', 'N_P')",0.03
"('4_NP', '3_T', 'medium_S', 'N_L', 'N_WA', 'N_P')",0.04
"('4_NP', '3_T', 'low_S', 'N_L', 'N_WA', 'N_P')",0.05
