Consequent,Antecedent,Supp,Conf,Lift
N_P,"('8_H', 'N_L')",0.07,0.97,0.99
N_L,"('8_H', 'N_P')",0.07,0.89,1.17
N_L,"('8_H',)",0.07,0.89,1.17
N_P,"('8_H', 'N_WA')",0.06,0.98,1.0
N_WA,"('8_H', 'N_P')",0.06,0.83,0.97
N_WA,"('8_H',)",0.06,0.82,0.96
N_P,"('8_H',)",0.07,0.97,0.99
N_WA,"('12_LE', 'N_L', 'N_P')",0.04,0.82,0.96
N_WA,"('12_LE', 'N_L')",0.05,0.82,0.96
N_P,"('12_LE', 'N_L')",0.05,0.98,1.0
N_P,"('12_LE', 'N_WA')",0.06,0.99,1.01
N_WA,"('12_LE', 'N_P')",0.06,0.86,1.0
N_WA,"('12_LE',)",0.06,0.86,1.0
N_P,"('12_LE',)",0.07,0.99,1.01
N_P,"('7_SL', 'N_L', 'N_WA')",0.06,0.97,0.99
N_WA,"('7_SL', 'N_L', 'N_P')",0.06,0.83,0.97
N_L,"('7_SL', 'N_WA', 'N_P')",0.06,0.97,1.27
N_WA,"('7_SL', 'N_L')",0.06,0.83,0.97
N_L,"('7_SL', 'N_WA')",0.06,0.97,1.27
N_P,"('7_SL', 'N_L')",0.07,0.97,0.99
N_L,"('7_SL', 'N_P')",0.07,0.97,1.28
N_L,"('7_SL',)",0.07,0.97,1.28
N_P,"('7_SL', 'N_WA')",0.06,0.97,0.99
N_WA,"('7_SL', 'N_P')",0.06,0.84,0.98
N_WA,"('7_SL',)",0.06,0.83,0.97
N_P,"('7_SL',)",0.07,0.97,0.99
N_WA,"('2_H', '3_T', 'N_P')",0.05,0.93,1.08
N_WA,"('2_H', '3_T')",0.05,0.93,1.08
N_P,"('2_H', '3_T')",0.05,0.98,1.01
N_P,"('2_H', 'N_WA')",0.07,0.98,1.0
N_WA,"('2_H', 'N_P')",0.07,0.9,1.05
N_WA,"('2_H',)",0.07,0.9,1.05
N_P,"('2_H',)",0.07,0.98,1.0
N_P,"('5_H', 'N_L', 'N_WA')",0.06,0.98,1.0
N_WA,"('5_H', 'N_L', 'N_P')",0.06,0.85,0.99
N_L,"('5_H', 'N_WA', 'N_P')",0.06,0.98,1.28
N_WA,"('5_H', 'N_L')",0.06,0.85,0.99
N_L,"('5_H', 'N_WA')",0.06,0.98,1.28
N_P,"('5_H', 'N_L')",0.07,0.98,1.0
N_L,"('5_H', 'N_P')",0.07,0.98,1.29
N_L,"('5_H',)",0.07,0.98,1.29
N_P,"('5_H', 'N_WA')",0.06,0.98,1.0
N_WA,"('5_H', 'N_P')",0.06,0.85,0.99
N_WA,"('5_H',)",0.06,0.85,0.99
N_P,"('5_H',)",0.07,0.98,1.0
N_P,"('9_SL', 'N_L', 'N_WA')",0.06,0.98,1.0
N_WA,"('9_SL', 'N_L', 'N_P')",0.06,0.81,0.95
N_L,"('9_SL', 'N_WA', 'N_P')",0.06,0.98,1.29
N_WA,"('9_SL', 'N_L')",0.06,0.81,0.94
N_L,"('9_SL', 'N_WA')",0.06,0.98,1.29
N_P,"('9_SL', 'N_L')",0.07,0.98,1.0
N_L,"('9_SL', 'N_P')",0.07,0.99,1.29
N_L,"('9_SL',)",0.08,0.99,1.29
N_P,"('9_SL', 'N_WA')",0.06,0.98,1.0
N_WA,"('9_SL', 'N_P')",0.06,0.81,0.95
N_WA,"('9_SL',)",0.06,0.81,0.95
N_P,"('9_SL',)",0.08,0.98,1.0
N_P,"('5_SL', '2_NP', 'Y_L', '3_T', 'N_WA')",0.05,0.99,1.01
N_WA,"('5_SL', '2_NP', 'Y_L', '3_T', 'N_P')",0.05,0.95,1.11
